original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
Instinct,"Drama, Thriller",108,Netherlands,Dutch,Halina Reijn,Topkapi Films,"In spite of her expertise and experience, a seasoned psychologist is completely infatuated by the sex offender she is treating in a penal institution.",6.3,1202,14,15
Kød & blod,"Crime, Thriller",89,Denmark,Danish,Jeanette Nordahl,Snowglobe Films,"Ida moves in with her aunt and cousins after the tragic death of her mother in a car accident. The home is filled with love, but outside of the home, the family leads a violent and criminal life.",6.7,215,,9
Dear Comrade,"Action, Drama, Romance",169,India,"Telugu, Kannada, Tamil, Malayalam",Bharat Kamma,Big Ben Cinemas,A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.,7.3,4933,157,11
Héraðið,"Comedy, Drama",92,"Iceland, Denmark, Germany, France",Icelandic,Grímur Hákonarson,Haut et Court,A widowed farmer begins a new life on her own terms by fighting against corruption and injustice in her community.,6.6,469,3,41
Working Man,Drama,109,USA,English,Robert Jury,Workingman Partners,"When a factory closure threatens a small Rust Belt town, one older factory worker continues going to his former job every day, despite the shutdown. His peculiar decision has a profound ...",6.1,301,17,14
El silencio de la ciudad blanca,"Action, Adventure, Crime",110,Spain,Spanish,Daniel Calparsoro,Atresmedia Cine,A cop returns to the job. A serial killer too returns to the job.,5.2,3452,37,23
Witnesses,"Crime, Horror, Thriller",97,USA,"English, Spanish",Christopher Burgart,Archon Entertainment,Four college classmates are hunted by a ruthless drug cartel hitman when they inadvertently record a murder while shooting their student film.,5.2,651,20,2
Amavas,"Horror, Thriller",134,India,Hindi,Bhushan Patel,Simply West Productions,"The lives of a couple turn into a nightmare, as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.",2.8,282,11,2
The Gambinos,"Crime, Drama",122,India,Malayalam,Girish Panicker Mattada,Kangaroo Broadcasting,"The film revolves around a mother and her four sons, leading their criminal lives, until the arrival of a young man called Mustafa, who brings unexpected twists and turns to the tale.",7.5,635,10,
Darlin',"Horror, Thriller",100,USA,English,Pollyanna McIntosh,Hood River Entertainment,A direct sequel to 2011's The Woman.,4.8,1193,24,69
Portal,"Horror, Thriller",75,USA,English,Dean Alioto,HorrorHound Films,"When an ambitious ghost hunter performs a risky ritual, opening a portal to ""the other side,"" he and his team quickly find themselves way in over their heads in a fight for survival against an ancient demonic force.",3.8,252,11,11
Damien veut changer le monde,Comedy,99,France,French,Xavier de Choudens,Agat Films & Cie,"Damien is a pawn in a primary school, and leads a quiet life. To rescue one of his young students, Bahzad, and his mother from imminent expulsion from the land, Damien reconnects with his ...",5.4,306,1,4
Babyteeth,"Comedy, Drama",118,Australia,English,Shannon Murphy,Screen Australia,"Milla, a seriously ill teenager falls in love with a drug dealer, Moses, her parents worst nightmare.",7,4129,54,104
Killers Anonymous,"Action, Crime, Mystery",95,UK,English,Martin Owen,Goldfinch,A support group of killers is held regularly. The participants sit in a circle of trust and share their transgressions.,5.1,6479,74,25
Robert Reborn,Horror,85,UK,English,Andrew Jones,North Bank Entertainment,"In 1951 USSR, infamous killer doll Robert battles Stalin's henchmen on board a plane.",3.2,328,20,6
Moj jutarnji smeh,Drama,94,Serbia,Serbian,Marko Djordjevic,,A drama with underlying humor about the shame and despair that 30 year old boy feels on his way to losing virginity.,7.2,316,1,8
The Two Popes,"Comedy, Drama",125,"UK, Italy","English, Spanish, Italian, Latin, Portuguese, French, German",Fernando Meirelles,Netflix,"Behind Vatican walls, the conservative",7.6,98327,495,188
Allu Ramendran,"Comedy, Drama",135,India,Malayalam,Bilahari,Ashiq Usman Productions,"Ramendran is in trouble, since the police jeep he drives always ends up with a flat tyre. This has made him the laughing stock of the village. With his honor at stake, he sets out to find the person who is the source of all his woes.",5.6,380,5,2
Patients of a Saint,Horror,106,UK,English,Russell Owen,Golden Crab Film Production,"When medical trials are pushed to their limits, the most extreme tests end up on St. Leonards Island in the north Atlantic - a re-purposed prison for some of the world's most violent ...",5.9,1341,25,5
Ventajas de viajar en tren,"Comedy, Mystery, Thriller",106,"Spain, France","Spanish, French, English, Russian",Aritz Moreno,Morena Films,A woman finds herself living a new dark spiral full of insanity and perversion after her schizo and abusive boyfriend.,6.5,1577,6,19
Intemperie,Thriller,103,"Spain, Portugal",Spanish,Benito Zambrano,Canal Sur Televisión,"In a tyrannical and oppressive Spain of misery and poorness, a child starts a runaway looking for freedom.",6.8,612,2,9
S.P. Chauhan,Drama,136,India,Hindi,Manoj K. Jha,Navchetna Production,"The film is based on the life of Shri S.P. Chauhan (Thakur Satpal Chauhan), a famous social worker from Karnal, Haryana. It highlights his journey from poverty to prosperity in adverse ...",5.5,347,13,
The Mercenary,Action,91,USA,English,Jesse V. Johnson,War Dog Productions,"Maxx is a legionnaire turned mercenary. When a mission in South America goes wrong Maxx is left for dead, but he is nursed back to health and reborn with a new outlook on life. He tries to ...",5.4,545,23,17
Kaappaan,"Action, Thriller",166,India,Tamil,K.V. Anand,Lyca Productions,"A Special Protection Group officer has to identify the threat to the prime minister, who he is protecting, and also the nation.",6.4,3467,102,5
El proyeccionista,"Drama, Mystery, Thriller",94,Dominican Republic,Spanish,José María Cabral,Tabula Rasa Films,"A lonely man who operates a film projector finds his only solace in a woman he sees on a film reel. After the reel is lost in an accident, he sets out to find the woman through the remotest, poorest places of the Dominican Republic.",6.9,102,1,5
Kumbalangi Nights,"Comedy, Drama, Romance",135,India,Malayalam,Madhu C. Narayanan,Fahadh Faasil and Friends,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love.",8.6,7560,134,17
The Murder of Nicole Brown Simpson,"Crime, Thriller",82,USA,English,Daniel Farrands,Skyline Entertainment,"Inspired by true events, the film follows OJ Simpson's ex-wife Nicole Brown Simpson in the last days before her tragic death on June 12th 1994, as seen from her point of view.",2.1,877,69,11
Lie Low,"Drama, Thriller",98,UK,English,Jamie Noel,,"Lie Low follows a young man who, after witnessing a stabbing, escapes to the French countryside with his family. Whilst confronting demons of the past, demons of the present threaten to catch up to his family with tragic consequences.",5,195,13,2
Rare Beasts,"Comedy, Drama, Romance",87,UK,English,Billie Piper,Singer Films,"An anti rom-com about Mandy, a career-driven single mother, who falls in love with the charming, traditionalist Pete.",6.5,186,1,8
Nefarious,Horror,79,UK,English,Richard Rowntree,Ash Mountain Films,"Darren, Lou, Jo and Mas live a meager existence on the fringes of poverty. Indebted to the criminal kingpin of their social housing development, they routinely fear for their lives. On the ...",3,141,10,27
Bit,"Comedy, Horror",90,USA,English,Brad Michael Elmore,Provocator,"A transgender teenage girl on summer vacation in Los Angeles fights to survive after she falls in with four queer feminist vampires, who try to rid the city's streets of predatory men.",3.8,509,24,18
En komikers uppväxt,"Biography, Drama",92,Sweden,"Swedish, German, Finnish",Rojda Sekersöz,Anagram,"Novelist Jonas Gardell adapts his own bestseller about growing up in 1970s-era Sweden with its countless perils, heartbreaks, and shifting alliances, in this painfully savvy feature from director Rojda Sekersöz (Beyond Dreams).",6.6,375,,4
A Nun's Curse,Horror,73,USA,,Tommy Faircloth,Horse Creek Productions,A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.,2.7,160,9,19
Finally Bhalobasha,"Drama, Romance",114,India,Bengali,Anjan Dutt,SVF Entertainment,The story is all about how people find love - in different situations and different ways.,6.7,145,2,
Shirley,"Biography, Drama, Thriller",107,USA,English,Josephine Decker,Los Angeles Media Fund (LAMF),A famous horror writer finds inspiration for her next book after she and her husband take in a young couple.,6.2,4612,75,98
Shepard,Thriller,71,USA,,Jourdan McClure,Red Rover Movie,"A troubled teen crosses paths with a charismatic, dangerous stranger and it becomes the worst decision in both of their lives.",4.1,104,4,
The Garden of Evening Mists,"Drama, Romance",120,"Malaysia, UK","English, Cantonese, Japanese, Malay",Tom Lin,Astro Shaw,A woman seeking a quiet life in post-World War II British Malaya finds love and a common interest in gardening with a mysterious Japanese man.,7.2,293,8,10
The Spy,"Biography, Drama, History",110,Norway,"Norwegian, English, Swedish, German",Jens Jonsson,4 1/2 Film,"Sonja Wigert is a diva and star in Stockholm when WW2 breaks out, rapidly getting attention from the Nazi officer Josef Terboven. She's then recruited by Swedish intelligence as a spy, but Terboven makes her spy on the Swedes.",6.2,274,2,3
Bombay Rose,"Animation, Drama, Romance",93,"India, UK, France, Qatar",Hindi,Gitanjali Rao,Cinestaan Film Company,BOMBAY ROSE is a beautiful hand-painted animation created by award winning animator Gitanjali Rao. A romance set on the streets of Bombay we witness Kamala and Salim's quest for love in this chaotic and beautiful city.,6.4,119,,16
Gut gegen Nordwind,"Drama, Romance",123,Germany,German,Vanessa Jopp,Komplizen Film,"Actually, Emmi Rothner had just wanted to unsubscribe from a newspaper subscription. But because she makes a typo in the address bar, the email ends up in the mailbox of Leo Leike. It is the beginning of a long online exchange.",6.4,610,2,20
Ich war noch niemals in New York,"Comedy, Drama, Family",128,Germany,"German, English",Philipp Stölzl,Ziegler Film,"Maria, the mother of television presenter Lisa Wartberg, has an accident with memory loss. All she can remember is that she has never been to New York. Without further ado, the elderly woman smuggles herself aboard a cruise ship.",5.7,216,2,17
F.C. De Kampioenen 4: Viva Boma!,Comedy,107,Belgium,Dutch,Jan Verheyen,Skyline Entertainment,"Ronaldinho is being prepared by Boma and Goedele as the new PDG of the ""Boma Meat Industry NV"". But his heart is more with football - and with Niki, his new flame. While the Champions are ...",5.4,236,2,
A Herdade,"Drama, Thriller",166,"Portugal, France",Portuguese,Tiago Guedes,APM - Ana Pinhão Moura Produções,"The chronicle of a Portuguese family that owns one of the largest estates in Europe, on the south bank of the River Tagus.",6.7,912,5,14
The Barefoot Emperor,"Comedy, Drama",98,"Belgium, Netherlands, Croatia, Bulgaria","English, Dutch, French, German","Peter Brosens, Jessica Woodworth",Bo Films,How the last King of the Belgians becomes the first Emperor of Europe.,6,181,,16
Stairs,"Action, Horror, Sci-Fi",102,UK,English,Tom Paton,,"Special ops squad ""Hell's Bastards"" are sent to infiltrate a civil war to retrieve intel. The unit soon find themselves trapped on a never-ending stairwell forced to climb or die. To ...",5.4,1343,16,16
Organize Isler: Sazan Sarmali,Comedy,121,Turkey,Turkish,Yilmaz Erdogan,BKM Film,"Asim Noyan swindles people with his lies and games. Asim Noyan and his gang, who no one else has been able to catch, gets into a ruse again.",6,11586,27,7
Ga woo man si ging,"Comedy, Drama",92,Hong Kong,Cantonese,Herman Yau,Er Dong Pictures - Beijing,An ordinary family of five try their best to remove the billboard that blocks the sea view from their house window.,6,201,4,10
Christmas Harmony,"Comedy, Drama, Musical",85,USA,English,Nanea Miyata,June Street Studios,"Kelley Jakle stars as young woman who returns to her small hometown to rediscover music, family bonds, and the magic of the Christmas season.",6.5,417,15,1
Pet Graveyard,"Adventure, Fantasy, Horror",100,UK,English,Rebecca Matthews,Millman Productions,A group of teens are tormented by the Grim Reaper and his pet after undergoing an experiment that allows them to revisit the dead.,4.6,642,20,16
Love Me Not,Drama,82,"Spain, Mexico","Spanish, Catalan",Lluís Miñarro,Piano,"A powerful international army assigns a regiment the task of guarding a mysterious man, held in a maximum security prison in the middle of the desert. Soldier Salome, daughter of Commander ...",5.2,149,,1
Seveled,"Comedy, Romance",90,Hungary,Hungarian,Dénes Orosz,A2O,"Neither with you is a real romantic comedy about Gergo, a Hugh Grant-like intellectual man whose mother is having a serious heart disease and has only days left, and therefore she is ...",6.2,331,,1
Babysplitters,Comedy,119,USA,,Sam Friedlander,Route 66 Films,"When two couples with mixed feelings about having kids hatch a plan to share one baby, it seems like the perfect compromise-until things spiral out of control.",5.6,339,12,11
Spinster,Comedy,87,Canada,English,Andrea Dorfman,Shut up & Colour Pictures,"After her partner breaks up with her on her 39th birthday, Gaby tackles her fears of loneliness as well as preconceptions of what it means for a woman to be single.",5,189,6,14
Dafne,Drama,94,Italy,,Federico Bondi,Rai Cinema,"Dafne is a self-aware and bright young woman with Down syndrome. When her mother dies, she has to attend to her father too, on top of attempting to process her own grief.",6.2,161,1,8
El Cuento de las Comadrejas,"Comedy, Drama",129,"Argentina, Spain",Spanish,Juan José Campanella,100 Bares,"A group of four old friends conformed by a film director, a film writer, an actress and her husband share a big house in the country. Their coexistence is menaced by a young couple who ...",7.3,2085,6,21
Karakomik Filmler: 2 Arada,"Comedy, Drama",60,Turkey,Turkish,Cem Yilmaz,CMYLMZ Fikirsanat,"Metin Arici who has been working as a staff for a ferry in Istanbul for a long time, also has been living in the same vehicle for 6 years. An interviewer visits them one day to evaluate how...",6.4,9147,24,8
Sister Aimee,Biography,87,USA,English,"Samantha Buck, Marie Schlingmann",Kill Claudio Productions,"In 1926 America's most famous evangelist is a woman. And she's looking for a way out. Fed up with her own success, she gets swept up in her lover's daydreams about Mexico and finds herself ...",5,141,2,8
Wat Is Dan Liefde,Comedy,103,Netherlands,Dutch,Aniëlle Webster,KeyFilm,"A compassionate divorce lawyer and her callous male co-worker find themselves reconsidering their beliefs on love, marriage, ambition and each other as they go head-to-head over the coveted position of partner in their legal firm.",7,590,1,2
