original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
El Príncipe,Drama,96,"Chile, Argentina, Belgium",Spanish,Sebastián Muñoz,El Otro Film,"A '70s-set homoerotic prison drama based on a low-circulated pulp novel, tracking the sexual, often-violent and eventually murderous experiences of 20-something narcissist Jaime.",6.4,507,1,16
Depraved,"Drama, Horror, Thriller",114,USA,English,Larry Fessenden,Glass Eye Pix,A disillusioned field surgeon suffering from PTSD makes a man out of body parts and brings him to life in a Brooklyn loft.,5.3,1180,20,60
Here Comes Hell,"Comedy, Horror",80,UK,English,Jack McHenry,Trashouse Films,"A 1930's dinner party descends into carnage, gore and demonic possession in Here Comes Hell, a genre-clashing horror comedy.",4.8,289,7,22
Char Man,"Comedy, Drama, Horror",85,USA,,"Kurt Ela, Kipp Tribble",MRP Entertainment,"Two friends visit fire-ravaged Ojai, California, intent on making a fake documentary about the infamous Ojai Vampire. However, things take a bizarre and frightening turn when they learn about a different local legend: The Char Man.",3.6,424,53,8
Go Back to China,Drama,95,"China, USA","English, Chinese",Emily Ting,Unbound Feet Productions,"When spoiled rich girl Sasha Li blows through most of her trust fund, she is cut off by her father and forced to go back to China and work for the family toy business.",5.9,483,24,23
The Last Summer,Comedy,109,USA,English,William Bindley,Gulfstream Pictures,"Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.",5.6,10392,99,18
Ma,"Horror, Mystery, Thriller",99,"USA, Japan",English,Tate Taylor,Blumhouse Productions,"A lonely woman befriends a group of teenagers and decides to let them party at her house. Just when the kids think their luck couldn't get any better, things start happening that make them question the intention of their host.",5.6,36323,468,197
Locusts,"Crime, Thriller",85,Australia,,Heath Davis,Closereef Productions,"Two estranged brothers who are reluctantly reunited in their remote hometown at their father's funeral, become the target of an extortion scam at the hands of a gang of violent local thugs.",4.7,182,18,18
Quien a hierro mata,"Drama, Thriller",107,"Spain, France, USA",Spanish,Paco Plaza,Atresmedia Cine,A drug dealer looking for rest. A nurse looking for revenge. A crossroads where no one is safe.,6.6,4899,26,23
Kurukshetra,"History, War",185,India,"Kannada, Malayalam, Hindi, Tamil, Telugu",Naganna,KCN Movies,"The film is loosely based on the Indian epic Mahabharata and poet Ranna's Gadhayuddha with the story centered upon Duryodhana, a Kaurava king.",6.9,958,58,5
The 20th Century,"Biography, Comedy, Drama",90,Canada,English,Matthew Rankin,Voyelles Films,"Determined to become the leader of the Dominion of Canada, a young W.L. Mackenzie King rises to power.",6.9,375,1,31
"My Friend, Tucker","Comedy, Drama",76,USA,English,Clarence Williams IV,Williams 4 Productions,"A troubled young man named Hamilton returns home for the first time in years since leaving for college and reconnects with his childhood best friend, Tucker. The two reflect on life, love, adulthood, and the ups and downs of childhood.",8.3,143,5,
Bloody Marie,"Action, Drama",87,Netherlands,"Dutch, English","Lennert Hillege, Guido van Driel",Family Affair Films,"Marie Wankelmut, once successful comic artist, lives among the prostitutes in Amsterdam's Red Light District. Nowadays drunken and bold, she gets into one conflict after another. A gruesome...",5.4,136,2,16
La Banda,Drama,90,Spain,"Catalan, Spanish",Roberto Bueso,Misent Producciones S.L.,"Edu is a young musician who will have to temporarily abandon his monotonous life in dreary London to return to his hometown in Spain for his brother's wedding. After years away, a sense of ...",5.7,117,,3
Jumanji: The Next Level,"Action, Adventure, Comedy",123,USA,English,Jake Kasdan,Matt Tolmach Productions,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",6.7,168698,940,241
The Haunting of Sharon Tate,"Drama, Horror, Thriller",94,"USA, Mexico",English,Daniel Farrands,Skyline Entertainment,"Pregnant with director Roman Polanski's child and awaiting his return from Europe, 26-year-old Hollywood actress Sharon Tate becomes plagued by visions of her imminent death.",2.8,3172,146,58
Black Water: Abyss,"Action, Drama, Horror",98,"Australia, USA",English,Andrew Traucki,Thrills & Spills,Five friends exploring a remote cave system in Northern Australia find themselves threatened by a hungry crocodile.,4.5,1845,56,41
The Night Clerk,"Crime, Drama, Mystery",90,USA,English,Michael Cristofer,Convergent Media.,A voyeuristic hotel clerk becomes the subject of a murder investigation.,5.4,6994,161,41
Hollywould,"Crime, Mystery, Thriller",90,USA,English,Joshua Coates,20/20 Visions Entertainment Group,"Award winning writer, celebrity Mark Travis seeks inspiration by returning to his hometown. What he finds is not what he expected. Her name is Holly. What Holly would do, is like nothing Mark has ever experienced before.",3.6,101,6,3
Rogue Warfare: The Hunt,Action,103,USA,English,Mike Gunther,5150 Action,The next isorry of the Rogue trilogy; Daniel's been captured and it's up to the team to find him before it's too late.,3.1,337,29,2
Rogue Warfare 3: Death of a Nation,Action,95,USA,English,Mike Gunther,5150 Action,The Black Mask Organization coordinates a twisted plot which will devastate the world within the next 36 hours.,3.2,162,10,2
Ms. Purple,Drama,87,USA,English,Justin Chon,Electric Panda Entertainment,A young woman who works as a karaoke hostess in Koreatown reconnects with her estranged brother in the final days of their father's life.,6.1,445,14,18
The Lighthouse,"Drama, Fantasy, Horror",109,"Canada, USA",English,Robert Eggers,A24,Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.,7.5,120670,1074,398
The King,"Biography, Drama, History",140,"UK, Hungary, USA, Australia","Latin, English, French",David Michôd,Netflix,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",7.2,79237,703,128
Tomiris,"Drama, History",156,Kazakhstan,"Kazakh, Russian",Akan Satayev,Kazakhfilm Studios,"This is the story of the life of the great queen of of the steppe - legendary Tomiris. She is destined to become a skillful warrior, survive the loss of close people and unite the Scythian/Saka tribes under her authority.",6.8,245,10,
After the Wedding,Drama,112,"USA, UK","English, Hindi",Bart Freundlich,Sony Pictures Classics,A manager of an orphanage in Kolkata travels to New York to meet a benefactor.,6.3,4977,85,90
The Plagiarists,Drama,76,USA,English,Peter Parlow,Automatic Moving Co.,A young couple is shaken by a seemingly fraudulent yet unprovable act that strikes to the core of their cultural pretensions.,5.9,218,3,12
Spirits in the Dark,"Drama, Horror, Mystery",70,"Hungary, UK, USA",English,József Gallai,Hepifilms,A lonely widower finds a mysterious video on his computer that leads him to an abandoned town occupied by an ominous entity.,3.3,154,8,13
Basu Poribar,Drama,110,India,Bengali,Suman Ghosh,Vignesh Films,Legendary figures of Indian cinema Aparna Sen and Soumitra Chatterjee head up the ensemble cast of this bittersweet tale of family ties and disillusionment. An elderly couple is celebrating...,5.9,148,2,
True Fiction,"Horror, Thriller",94,Canada,English,Braden Croft,775 Media Corp,"A young writer gets a job assisting her favourite horror writer, but she finds herself participating in an out-of-control psychological experiment.",4.8,467,20,26
Lone Wolf Survival Kit,Thriller,100,USA,,Charles Ehrlinger,Gearmark Pictures,"After witnessing a woman's boyfriend commit murder outside his home, Jonathan, a man who lives so alone that he hasn't left his house in two years, is drawn out into the dangerous world to save her.",4.2,126,5,3
Mio fratello rincorre i dinosauri,"Comedy, Family",101,"Italy, Spain",,Stefano Cipani,Paco Cinematografica,"Jack has always wanted a little brother to play with, and when Gio is born, his parents tell him his brother is a ""special"" child. That's when Gio turns into a superhero with amazing powers...",6.5,404,2,6
Avane Srimannarayana,"Adventure, Comedy, Fantasy",174,India,Kannada,Sachin,Paramvah Studios,"In the pursuit of solving an ancient mystery of Amaravati, Narayana, a corrupt cop must battle the dangerous clan of dacoits and it's fierce leader.",7.9,4455,185,9
Play,"Comedy, Romance",108,France,French,Anthony Marciano,Chapter 2,"Max was 13 when he was offered his first camera. For 25 years, he will not stop filming friends, loves, successes and failures. From the 90s to the 2010s, this is the portrait of a whole generation that is emerging through its objective.",7.2,739,,9
The Operative,"Action, Drama, Thriller",116,"France, Israel, Germany, USA, UK","English, German, Persian, Hebrew, Kurdish, French",Yuval Adler,Black Bear Pictures,A woman is recruited by the Mossad to work undercover in Tehran.,5.6,3493,77,41
Robert the Bruce,"Action, History",124,USA,English,Richard Gray,Yellow Brick Films LLC,The story of the nobleman-turned-outlaw hero who was crowned king of Scots in the 14th century.,5.4,1697,162,35
Yaga. Koshmar tyomnogo lesa,Horror,113,Russia,Russian,"Svyatoslav Podgaevskiy, Nathalia Hencker",Central Partnership Productions,"The young family who moved to a new apartment on the outskirts of the city. The nanny hired by them for the newborn daughter quickly gained confidence. However, the older boy, Egor, talks ...",4.7,719,13,12
Burn,Thriller,88,USA,English,Mike Gan,Yale Productions,"When a gas station is held at gunpoint by a desperate man in need of cash, a lonely and unstable gas station attendant, tired of being overshadowed by her more outgoing co-worker, finds an opportunity to make a connection with the robber.",5.7,2985,55,19
Kruty 1918,"Action, Drama, History",110,Ukraine,"Ukrainian, Russian, Polish, French, German",Aleksey Shaparev,Good Morning Films,"Ukraine, 1918. As a Bolshevik army of about 4.000 men, commanded by General Muravyov, advances towards Kyiv, with the aim of capturing the city, a small Ukrainian unit of 400 soldiers -...",6.4,474,1,4
The Cleansing Hour,Horror,94,USA,"English, Spanish",Damien LeVeck,Skubalon,"Another successful ""exorcism"" streamed online - or so it seems. Can the ""exorcist"", producer and their team bring the ratings up? Ratings skyrocket, when a real demon gets involved.",5.7,1304,45,26
Blood Vessel,Horror,93,Australia,English,Justin Dix,Rock Island Films,"Somewhere in the North Atlantic, late 1945. A life raft adrift at sea, and in it, the survivors of a torpedoed hospital ship: With no food, water, or shelter, all seems lost - until an ...",5.2,583,32,19
Suttu Pidikka Utharavu,"Action, Drama",136,India,Tamil,Ramprakash Rayappa,Kalpataru Pictures,The people of a crowded colony in Coimbatore city go through a hard time as a few heavily armed criminals enter the place when they try to escape from the cops.,6.3,256,7,3
Simba,"Comedy, Drama, Fantasy",131,India,Tamil,Arvind Sridhar,Magic Chair Films,"A stoner befriends a Great Dane, who is the pet of his neighbor, and tries to make her fall in love with him.",5.5,136,7,
Asura Guru,Action,120,India,Tamil,A. Rajdeep,JSB Film Studios,"Shakti, who becomes obsessed with money from childhood, goes on to become a tech-savvy thief. However, he becomes a changed man due to certain circumstances when cops nab him.",3.1,197,14,3
Devarattam,"Action, Drama",140,India,Tamil,M. Muthaiah,Studio Green,A lawyer ends up killing the son of a gangster and the latter swears revenge.,4.2,157,8,3
Gorilla,Comedy,128,India,Tamil,Don Sandy,All In Pictures,Three friends who need money to better their lives and a disillusioned farmer hatch a plan to rob a bank with a chimp as an accomplice.,4.6,223,4,4
Praana,"Crime, Drama, Horror",107,India,"Malayalam, Hindi, Telugu, Kannada",V.K. Prakash,SRaj Productions,A young woman decides to live a life of solitary in an old mansion away from the city's hustle bustle. Little does she know that the nature surrounding her has other plans for her.,8.4,783,,1
Frankie,"Drama, Romance",100,"France, Portugal","English, French, Portuguese",Ira Sachs,SBS Productions,"Three generations grappling with a life-changing experience during one day of a vacation in Sintra, Portugal, a historic town known for its dense gardens and fairy-tale villas and palaces.",5.4,1130,13,62
La Boda de la Abuela,Comedy,97,Mexico,"Spanish, Portuguese, English",Javier Colinas,"Güeros Films, Los",A grandmother marries a much younger man to the dismay of her relatives.,5.4,403,4,3
Boomerang,"Action, Thriller",120,India,Tamil,R. Kannan,Masala Pix,"A guy who gets a face transplant done, following a fire accident, realises many are after his life. He sets out to find the reason for the same.",5.6,376,5,1
Symphony No. 9,"Comedy, Drama, Fantasy",90,Iran,Persian,Mohamad Reza Honarmand,Farabi Cinema Foundation,A surgeon starts a journey to fulfill her husband's last wish.,5.4,190,,1
Dnevnik Diane Budisavljevic,"Biography, Drama, History",88,"Croatia, Serbia, Slovenia","Croatian, German",Dana Budisavljevic,Hulahop,"The story of Diana Budisavljevic, who embarks on a campaign of rescuing more than 10,000 children from the Ustasha camps in Nazi-occupied Croatia. A dramatized retelling mixed with archival material and interviews with survivors.",7.5,942,11,9
Demon Eye,Horror,87,UK,English,Ryan Simons,Quickfoot Media,"A young woman returns to her father's country house in the moors following his mysterious death and finds a cursed amulet, connected to local witchcraft. She unlocks two deadly demons, who haunt her.",3.3,428,15,4
Rassvet,"Horror, Thriller",98,Russia,Russian,Pavel Sidorov,Karoprokat,"In the main character, under mysterious circumstances, the brother dies. The girl begins to pursue realistic nightmares, and she goes to the institute of somnology, where she and other ...",4.2,225,4,15
Spycies,"Animation, Action, Comedy",99,"China, France","English, Chinese","Guillaume Ivernel, Zhiyi Zhang",Lux Populi VFX,"Vladimir and Hector, two secret agents opposed in every way, are trying to recover a top secret material stolen by unknown intruders.",5.3,376,15,11
Shadow Wolves,"Action, Adventure, Thriller",95,"USA, UK",English,McKay Daines,Caedmon Entertainment,A rogue NSA agent joins an elite group of Native American trackers who call themselves the Shadow Wolves as they engage in missions to protect justice in America and abroad.,3.7,287,13,1
Ojos negros,Drama,67,Spain,Spanish,"Iván Alarcón, Ivet Castelo",Nanouk Films,"""Paula, a thirteen year old girl, starts to experience certain complications in the relationships with her family and friends. In order to be with her ill grandmother, which she barely ...",6,138,1,2
Paddleton,"Comedy, Drama",89,USA,English,Alex Lehmann,Duplass Brothers Productions,An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.,7.2,10186,108,48
Gypsy,Drama,145,India,Tamil,Raju Murugan,Olympia Movies,A young man travels across India and learns about nation-wide politics. He then decides to do something about it.,6.5,485,27,5
House Owner,Drama,109,India,Tamil,Lakshmi Ramakrishnan,Monkey Creative Labs,"An elderly couple, a house wife and a retired army man, go through some unanticipated moments during a rainy season in Chennai.",6.3,105,7,2
Kaalidas,"Action, Crime",126,India,Tamil,Sri Senthil,Leaping Horse Entertainment,"A cop, who suffers from family issues, takes up a peculiar suicide case. The plot thickens as similar cases get reported within a span of a few days.",6.9,800,31,4
Kanchana 3,"Action, Comedy, Horror",164,India,"Tamil, Telugu, Kannada",Lawrence Raghavendra,Raghavendra Productions,A young man who gets easily scared is possessed by a ghost that is seeking revenge.,4.2,1059,28,5
Kanne Kalaimaane,"Drama, Romance",128,India,Tamil,Seenu Ramasamy,Red Giant Movies,"Set in a small village in rural Tamil Nadu, Kanne Kalaimane follows the life and times of a rich farmer named Kamala Kannan, and chronicles the changes in this world following the arrival ...",6.3,229,5,3
Kannum Kannum Kollaiyadithaal,"Drama, Romance, Thriller",160,India,Tamil,Desingh Periyasamy,Anto Joseph Film Company,A carefree youngster`s life takes an interesting turn after he meets the girl of his dreams.,7.7,3760,69,7
Words on Bathroom Walls,Drama,110,USA,English,Thor Freudenthal,Kick the Habit Productions,"Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his condition.",7.1,225,8,41
Frieda: Coming Home,"Mystery, Thriller",91,Germany,English,Michael W. Driesch,Xamaram Entertainment,"A young American couple, Mark and Olivia, are expecting their first child. Before that, they want to make their dream of a trip to Europe come true. They book private accommodations through...",5.6,319,7,
Kaptein Sabeltann og den magiske diamant,"Animation, Family",81,Norway,Norwegian,"Marit Moum Aune, Rasmus A. Sivertsen",Qvisten Animation,"Two young pirates on the search for a lost brother, a vampire with heavy sunburns, a shape shifting queen and a raging ape army. Captain Sabertooth will face plenty of challenges when he sets out to find a lost magic diamond.",6,196,,1
Blanche comme neige,"Comedy, Drama",112,"France, Belgium",French,Anne Fontaine,Mandarin Films,"Claire, a beautiful young woman works at her late father's hotel that is now managed by her evil stepmother Maud. Claire unwittingly sparks uncontrollable jealousy in Maud, whose young ...",5.3,694,7,16
"Gospod postoi, imeto i' e Petrunija",Drama,100,"Republic of North Macedonia, Belgium, France, Croatia, Slovenia",Macedonian,Teona Strugar Mitevska,Sister and Brother Mitevski,"A Macedonian woman throws herself into a traditionally men-only ceremony, kicking up a ruckus and standing her ground.",6.8,1488,12,60
We Summon the Darkness,"Horror, Music, Thriller",91,"UK, USA, Canada",English,Marc Meyers,Common Enemy,"Three best friends embark on a road trip to a heavy-metal show, where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party.",5.1,5060,144,77
Vtorzhenie,"Action, Sci-Fi",134,Russia,"Russian, English",Fedor Bondarchuk,Art Pictures Studio,"With the fall of the alien ship Julia's life changed, now three years later mankind is about to experience new encounter.",5.6,2359,36,10
L'intervention,"Action, Drama, History",98,"France, Belgium","French, English",Fred Grivois,SND Groupe M6,"In February 1976 in Djibouti, a school bus was taken hostage at the Somali border. The GIGN is sent on the spot. After 30 hours of tension, a rescue operation is organized.",6.3,1921,24,16
Asamblea,Comedy,75,Spain,Spanish,Álex Montoya,Kaishaku Films,A comical portrait of a social assembly that challenges progressive notions of participation.,6.3,121,,14
Mummy Reborn,"Comedy, Horror",80,UK,English,Dan Allen,Proportion Productions,"When a group of teens in financial ruin decide to rob the local antique store, they discover an old wooden tomb containing a Mummy's corpse and an ancient amulet. But what they don't ...",3.3,484,21,11
Assassin 33 A.D.,Sci-Fi,109,USA,English,Jim Carroll,Timed Out Productions,"While doing research , a group of young geniuses accidentally stumble upon a secret terrorist plot to create a time machine to go back in time and change history.",3.6,956,76,10
Vic the Viking and the Magic Sword,"Animation, Action, Adventure",77,"Germany, France, Belgium",English,Éric Cazes,Studio 100 Animation,"Vic is a young Viking like no other: not very strong but very clever. When his father, Halvar, the village chief, steals from his sworn enemy a magic sword that turns everything into gold, the lure of gain wreaks havoc among the Vikings",5,114,,7
UP There,Drama,94,USA,English,"Michael Blaustein, Daniel Weingarten",Weingarten Productions,"When a down on his luck journalist finds himself with a less than ideal assignment in the Upper Peninsula of Michigan, he acquires the help of a local, who he soon discovers possesses the story that could jump start his career.",4.9,174,24,2
Daffodils,"Biography, Drama, Musical",93,New Zealand,English,David Stubbs,Libertine Pictures,A bittersweet love story told with beautiful re-imaginings of iconic New Zealand songs.,5.7,258,15,3
Solum,Thriller,95,Portugal,English,Diogo Morgado,SLX Productions,"A reality show on an inhabited island where eight contestants must fight for their survival becomes more than it appears to be. Solum is not just a game -- it's a test, a selection process,...",4.2,317,21,1
Fagun Haway,"Drama, Family, History",136,Bangladesh,Bengali,Tauquir Ahmed,Impress Telefilm,The film is about the language movement during 1952 in East Pakistan.,7.6,268,8,1
Pelikanblut,Drama,121,"Germany, Bulgaria",German,Katrin Gebbe,Junafilm,"A woman who trains police horses adopts her second child, a severely traumatised 5-year-old girl. When the girl shows violent and anti-social behaviour, her new mother becomes determined to help her.",5.7,197,,24
Someone Great,"Comedy, Romance",92,USA,English,Jennifer Kaytin Robinson,Feigco Entertainment,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.",6.2,16505,205,36
Yesterday,"Comedy, Fantasy, Music",116,"UK, China, Japan, USA","English, Portuguese, Japanese",Danny Boyle,Decibel Films,A struggling musician realizes he's the only person on Earth who can remember,6.8,105230,951,291
Fête de famille,"Comedy, Drama, Family",101,"France, Belgium",French,Cédric Kahn,Les Films du Worso,A mother's birthday party is interrupted by her most unpredictable daughter.,5.9,677,3,19
Ring of Silence,Drama,95,USA,English,Nicole Bowers Wallace,NBW Films,"When a young girl falls in love with a sweet and charming stranger, she soon finds out that her fairy tale doesn't lead to wonderland, but to a far more seedy underbelly of society.",8.6,496,3,
Le choc du futur,Drama,84,France,French,Marc Collin,Nebo Productions,The late 1970s arrival of electronic music to France is dealt with in the story of 24 hours in the life of a young woman composer in Paris.,6.1,181,,11
Vijay Superum Pournamiyum,"Comedy, Drama",135,India,Malayalam,Jis Joy,New Surya Films,"A young engineering student dreams of becoming a chef, much to the dismay of his family.",7.2,1087,23,4
Rebelles,"Comedy, Crime",87,France,French,Allan Mauduit,Albertine Productions,"A young woman forced to flee a violent husband returns to Boulogne-sur-Mer, her childhood's city, which she left almost 15 years ago. One day, one of her colleagues tackles her insistently, she defends herself and kills him accidentally.",6.2,1084,4,26
Little,"Comedy, Fantasy, Romance",109,USA,English,Tina Gordon,Universal Pictures,A woman is transformed into her younger self at a point in her life when the pressures of adulthood become too much to bear.,5.4,9887,180,67
For the Weekend,"Comedy, Thriller",96,USA,English,"Tom Dever, Warren J. Williams",Bandaresa Entertainment,A group of friends' attempt to repair their strained relationship by celebrating a birthday at a remote desert home falls apart when one disappears and their lives are changed forever.,4.1,251,47,
Monsoon,"Drama, Romance",85,UK,"English, Vietnamese",Hong Khaou,BloomerApp Media Production,"Kit, a British Vietnamese man, returns to Saigon for the first time in over 30 years, after fleeing during the Vietnam-American War.",6.1,190,1,16
Noah Land,Drama,109,"Turkey, Germany, USA",Turkish,Cenk Ertürk,,"Suffering through a mid-life crisis, Omer has to face the angry villagers in order to realize his estranged father's dying wish to be buried under the enshrined Noah Tree which his father claims to have planted half a century ago.",7.5,852,11,13
The Millennial Killer,Horror,71,UK,English,Sam Mason-Bell,H B Films,The step on the housing ladder becomes the first step on the path to hell,2.7,183,6,7
Irupathiyonnaam Noottaandu,"Action, Adventure, Drama",163,India,Malayalam,Arun Gopy,Mulakuppadam Films,Appu a surfer and restaurant owner in Goa has to face many difficulties to succeed in love.,3.3,425,18,5
Gekijouban Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,"Animation, Drama, Fantasy",117,Japan,,Tomonori Sudô,Type-Moon,"The story focuses on the Holy Grail War and explores the relationship between Shirou Emiya and Sakura Matou, two teenagers participating in this conflict. The story continues immediately ...",8,904,5,3
Abuelos,"Comedy, Drama",98,Spain,Spanish,Santiago Requejo,2:59 Films,Three aged friends looking for create their own job to show that still are useful.,6,321,1,2
NGK,"Action, Drama",148,India,"Tamil, Telugu",K. Selvaraghavan,Dream Warrior Pictures,"An educated do-gooder is forced to enter politics in order to serve the society. But, will the old guard make way and allow him to do that?",5.9,3153,126,10
Snu,Romance,94,Portugal,"Portuguese, Danish, English",Patrícia Sequeira,Santa Rita Filmes,The story about the romance of Snu Abecassis and the former Portuguese prime minister Sá Carneiro.,6.6,387,1,5
The Seven,Horror,79,UK,English,Richard Colton,Amarich Productions,60 Years ago a group of Devil worshipers died in a mysterious fire which burnt their mansion down to the ground. Now years later a college stands on the site where the mansion once stood. ...,3.1,140,6,2
Lady and the Tramp,"Adventure, Comedy, Drama",103,USA,English,Charlie Bean,Taylor Made,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,6.3,13803,294,47
The Refuge,"Crime, Drama, Thriller",98,USA,English,Keith Sutliff,KS Pictures,A getaway driver finds himself in harm's way when he gets caught up in a job involving casino heist money leading to a debt over his head.,5,1439,58,7
Britt-Marie var här,"Comedy, Drama, Sport",97,Sweden,"Swedish, German",Tuva Novotny,SF Studios Production AB,"Britt-Marie, 63 years old, has just left a 40 year old marriage and her long life as a house wife. Being told she is a nagging passive aggressive aunt, the new, only job, in small town Borg...",5.2,1041,10,26
6 Underground,"Action, Thriller",128,USA,"English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",Michael Bay,Bay Films,"Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future.",6.1,129507,2298,117
Ek Ladki Ko Dekha Toh Aisa Laga,"Comedy, Drama, Romance",120,India,Hindi,Shelly Chopra Dhar,Fox STAR Studios,"The film tells the story of Sweety Chaudhary, a closeted lesbian, and her attempts to come out to her conservative and traditional family.",5.5,3591,107,17
Judgementall Hai Kya,"Comedy, Drama, Mystery",121,India,Hindi,Prakash Kovelamudi,Balaji Motion Pictures,Following the story of two quirky individuals whose lives pivot between reality and illusions.,6,4816,217,18
Sonchiriya,"Action, Crime, Drama",143,India,Hindi,Abhishek Chaubey,MacGuffin Pictures,"Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.",7.9,6644,119,17
Saand Ki Aankh,"Biography, Drama",146,India,Hindi,Tushar Hiranandani,Reliance Entertainment,"Both over the age of 60, Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills.",7.8,3732,143,14
Why Cheat India,"Crime, Drama",121,India,Hindi,Soumik Sen,Ellipsis Entertainment,"The movie focuses on existing malpractices in country's education system, the whole concept of buying your way through education, jobs and earnings. Even with an evolving education system, ...",6,2224,31,8
The Tashkent Files,"Drama, Mystery, Thriller",134,India,Hindi,Vivek Agnihotri,AD Films,"Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated.",7.8,8167,372,8
Tanhaji: The Unsung Warrior,"Action, Biography, Drama",135,India,Hindi,Om Raut,Ajay Devgn Ffilms,"Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.",7.6,19532,886,31
The Unfamiliar,"Horror, Thriller",89,UK,English,Henk Pretorius,Dark Matter Studios,"A British Army doctor comes back from a war, thinking that she has PTSD only to discover that there is a more daunting malevolence at work making the life that she knew unfamiliar.",3.7,218,8,12
Dil Bechara,"Comedy, Drama, Romance",101,India,Hindi,Mukesh Chhabra,Fox STAR Studios,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",8.8,101686,7639,30
In the Shadow of the Moon,"Crime, Mystery, Sci-Fi",115,"USA, Canada",English,Jim Mickle,42,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,6.2,36941,505,71
Mais vous êtes fous,Drama,95,France,French,Audrey Diwan,Rectangle Productions,"Roman loves Camille as much as he loves his two daughters. But he is hiding from all of them a serious problem of addiction, which could endanger his dearest. Does love have a chance to survive when trust is broken?",6.5,240,1,2
Planeta Singli 3,"Comedy, Romance",101,Poland,Polish,"Sam Akina, Michal Chacinski",Gigant Films,"Tomek and Ania finally decide to get married. The wedding, according to the wishes of Ania, will take place at the family members of Tomek with whom he has had no contact for years. It ...",5.5,606,,
Go!,"Family, Sport",102,Australia,English,Owen Trevor,See Pictures,A thrilling family film about a boy who must overcome tremendous odds and his own recklessness to achieve his dream of winning the National Go Kart Championship.,5.9,1831,28,11
Bbaengban,"Action, Crime",133,South Korea,Korean,Jun-hee Han,Showbox Entertainment,Eun Si Yeon is a police officer and she was demoted to the hit-and-run task force at a police station from the regional investigation unit at the National Police Agency and will work ...,5.6,601,7,6
Bring Me Home,"Drama, Mystery, Thriller",108,South Korea,Korean,"Seung-woo Kim, Seung-woo Kim",26 Company,A dedicated mother in search of her missing son follows a tip that leads her to a fishing village where corrupt police officers might have the answers to her mystery.,6.3,462,8,9
All Inclusive,Comedy,92,"France, Belgium",French,Fabien Onteniente,Curiosa Films,"Planted by his fiancee at the airport, Bruno flies away alone for a week in an All Inclusive Caribbean vacation club. Bad news never comes alone, he will have to share his room with Jean-Paul Cisse, eternal bachelor very invading .",3.1,402,6,4
One Day: Justice Delivered,"Action, Crime, Thriller",124,India,Hindi,Ashok Nanda,Cinema Friday International,A Crime Branch Special Officer Investigates the Serial disappearance of high profile individuals in a state capital.,5.5,1325,54,5
The Body,"Mystery, Thriller",101,India,"Hindi, English",Jeethu Joseph,Azure Entertainment,"When the body of a powerful businesswoman disappears from the morgue, the inspector in charge hunts for the truth. But when he questions her husband he realizes that there is much more to the case than meets the eye.",5.4,2541,63,8
Badla,"Crime, Drama, Mystery",118,India,Hindi,Sujoy Ghosh,Azure Entertainment,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,7.8,20874,430,30
Magari,Drama,104,"Italy, France","Italian, French, English",Ginevra Elkann,Wildside,"An eight-year-old girl hopes that her parents will get back together. She and her brothers go stay with their father in Italy, where they provoke, neglect, delight and love each other.",5.9,370,2,8
